,song_title,artists,song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time signature
70,Burnout,['Green Day'],spotify:track:7dVDWf0wud70V4PgYfKnaG,0.5,0.921,6.0,-5.261,1.0,0.0355,0.000165,0.00118,0.0959,0.891,90.861,127533.0,4.0
71,Welcome to Paradise,['Green Day'],spotify:track:5kr3j5Clb9rjEposoMyLVt,0.37,0.96,3.0,-4.162,0.0,0.0378,0.000241,0.0116,0.0563,0.717,89.428,224133.0,4.0
72,Chump,['Green Day'],spotify:track:1Cq8IdsiaMiieYuLN8iEm0,0.221,0.887,10.0,-8.396,1.0,0.0537,0.00023,0.177,0.159,0.638,173.569,174040.0,4.0
73,Longview,['Green Day'],spotify:track:3LRJbFT9rKoKv4aW7PuBJC,0.381,0.732,10.0,-7.594,0.0,0.0536,0.00834,0.0101,0.0854,0.814,142.504,233240.0,4.0
74,In the End,['Green Day'],spotify:track:4GSyhhe5HHAytp7KlmWlZX,0.323,0.951,1.0,-5.844,1.0,0.0442,5.75e-05,1.78e-06,0.233,0.772,139.54,106400.0,4.0
75,I Fought the Law,['The Clash'],spotify:track:7lSDCrF11sdTVfjbAQVZE8,0.526,0.9,2.0,-6.815,1.0,0.0545,0.00539,4.12e-05,0.14,0.883,151.279,163240.0,4.0
76,White Riot - Remastered,['The Clash'],spotify:track:0brrVj6VnvrG70SjRTnEJA,0.168,0.974,2.0,-4.862,1.0,0.0655,0.000598,0.783,0.295,0.609,205.278,116440.0,4.0
77,Institutionalized,['Suicidal Tendencies'],spotify:track:7G83ZwD2msTtFaBQExc8QB,0.358,0.804,0.0,-8.534,1.0,0.302,0.0404,0.0,0.111,0.625,91.842,229960.0,3.0
78,Subliminal,['Suicidal Tendencies'],spotify:track:2zeAo1ddhjm1TioD77dDSV,0.467,0.885,9.0,-8.226,0.0,0.0446,0.0181,0.0,0.364,0.452,94.397,188133.0,4.0
79,Possessed,['Suicidal Tendencies'],spotify:track:7pv9Njtvz4Wh38N3W5si4w,0.225,0.884,0.0,-7.49,1.0,0.0705,0.00316,0.0,0.0826,0.736,177.649,127307.0,4.0
